bootstrap_iteration,0-0,0-15,0-30,0-40,15-0,15-15,15-30,15-40,30-0,30-15,30-30,30-40,40-0,40-15,40-30,40-40,AD-40,40-AD
45,0.6656557408919476,0.490207742289741,0.28177768569356676,0.09770664118490205,0.7997237092039371,0.6497612382677425,0.43206106870229005,0.19458264234383638,0.9110425809512513,0.8096238304372733,0.6275822928490352,0.34593000079725744,0.9752714113389626,0.9378035113933507,0.8401482471596087,0.629649050526237,0.8427714417562133,0.3491498959056211
46,0.6594250083861165,0.4810597257727167,0.27510460251046026,0.09318398474737846,0.795724881052337,0.6482310050542712,0.4262305616244699,0.1892639734366353,0.9036666463303032,0.8064814364264513,0.6222604704532415,0.3386239187366082,0.9707536557930259,0.9339568253154826,0.8375868642764898,0.6194043689500427,0.8326817826426895,0.33758071459319844
47,0.6615469114733518,0.4865792035603356,0.279439847231063,0.09090909090909091,0.7949475293627076,0.6457465671518701,0.4291239605492168,0.18961068102771234,0.9045220103154612,0.8028270244369909,0.6202165655649413,0.3446168312176775,0.9725068479253323,0.9348503146253099,0.8354398854367723,0.6133838665329023,0.8316942776054386,0.332171399421867
48,0.6633109619686801,0.4855287569573284,0.2933598659405111,0.10809500727096462,0.7981316849562439,0.6437033968516984,0.42818515418785813,0.1928031985784096,0.9066906690669067,0.8049782503624939,0.6241215791578587,0.3422673813905112,0.969506098780244,0.9325243026875913,0.8355348037107575,0.6107828930256753,0.8274610715228292,0.33146210768053075
49,0.6647436148159738,0.4910710122627873,0.2818431041754534,0.10886507549926937,0.7949926058396671,0.6517449747194475,0.4260449137985877,0.19008445760666887,0.9045595978937291,0.8100711812235475,0.6262298811351874,0.347674786459981,0.9751515151515151,0.9396595208070618,0.8407867879012804,0.6233476848704584,0.8382303950962756,0.3420823160097663
50,0.6655438874578958,0.4896574316735305,0.2960238780513805,0.10397629044208447,0.7993129316086515,0.6462510989241009,0.4330360049482388,0.19900158838211934,0.9052087092505714,0.8043077520131949,0.6234412538611143,0.34552715654952076,0.9739483020780537,0.935351462288353,0.837779290709909,0.6253421832227097,0.8378145695364239,0.34797268090256767
51,0.6629200258930148,0.4850632207864388,0.2853044309850175,0.10487261934207272,0.7978191415474372,0.645319587628866,0.43398151099776855,0.19427175843694494,0.9035806085241198,0.7990193698723239,0.6255738819928583,0.3456253948199621,0.9700676213206046,0.9303700877527661,0.835029556950454,0.615305181633782,0.8282368249837345,0.3365974114441417
52,0.6612370160528801,0.48317857309504925,0.28246515040352166,0.09577262956770957,0.7961219029085728,0.645307875099012,0.4231194330667707,0.1904709018214127,0.904502128169774,0.8057170542635659,0.6259252883456705,0.3408653846153846,0.9725945189037808,0.9316134843026248,0.8357090194150897,0.627761803874092,0.8404227037086269,0.346741612506587
53,0.6606585856990563,0.4850379840652214,0.27888067581837384,0.09215017064846416,0.7962033755570371,0.6446468309568945,0.42284942779992285,0.18492383512544802,0.9100305810397553,0.8081880944334476,0.6205569910996268,0.34017713365539454,0.9743589743589743,0.9354310887350535,0.8354727227844977,0.619317969596235,0.8334867815336051,0.33777124578542406
54,0.6653011383779099,0.48954381419450355,0.2838363655484278,0.10031423737007493,0.8009038677130045,0.6503354592893232,0.4324863300096494,0.19340562071254702,0.9115151515151515,0.8099917703441932,0.6295061231529926,0.35069472012703456,0.975132490827558,0.9398277172536104,0.8410517809411326,0.6286938867584029,0.8371879106438896,0.3497407049310011
