player,DR+,DR,BLR,serve_LR,return_LR,serve_points_won_rate,return_points_won_rate,serve_points_lost_rate,points,matches,serve_points,return_points,serve_points_won,return_points_won,avg_serve_won_LEV,avg_serve_lost_LEV,avg_return_won_LEV,avg_return_lost_LEV,wta_rank,drplus_rank
Ekaterina Alexandrova,1.0655130368955819,1.0130929207318975,1.051742653700328,0.7590639921088792,1.3444213152917768,0.5830237210631609,0.4224357163040407,0.4169762789368391,7038.0,60.0,3499.0,3539.0,2040.0,1495.0,0.15198328809947767,0.2002246051445915,0.20537803139048266,0.15276314727716878,19,24
Clara Tauson,1.0650113073573406,1.0257701622603543,1.0382552998134746,0.7419385377503196,1.3345720618766297,0.5915641476274165,0.41896131056117114,0.4084358523725835,5714.0,41.0,2845.0,2869.0,1683.0,1202.0,0.15028535814735466,0.20255769245124364,0.20242553923986573,0.15167823830750798,23,25
Emma Raducanu,1.0635639482583958,1.038041390167205,1.0245872258398865,0.7353801922952942,1.313794259384479,0.5821496212121212,0.4337459880788629,0.4178503787878788,8586.0,68.0,4224.0,4362.0,2459.0,1892.0,0.14985751244513654,0.20378236185203205,0.20540716145490812,0.15634652076432629,31,26
Ashlyn Krueger,1.054424571104662,0.9951727912048419,1.0595391879917504,0.7388790420239473,1.3801993339595535,0.5791201575837164,0.418848167539267,0.4208798424162836,3051.0,23.0,1523.0,1528.0,882.0,640.0,0.14851600416008637,0.20100178204171193,0.20573317416146905,0.14906047923618113,91,27
Maria Sakkari,1.0532452308687759,1.0122717179781446,1.0404767931010357,0.7611561279369033,1.3197974582651681,0.5861704935339139,0.4189079054604727,0.4138295064660861,7470.0,63.0,3789.0,3681.0,2221.0,1542.0,0.15239064742829425,0.2002094469650342,0.20063271481722492,0.15201780664205117,40,28
Leylah Fernandez,1.0510259795517012,1.0252535074315878,1.0251376580848548,0.734803953066669,1.3154713631030406,0.5892857142857143,0.42108626198083066,0.4107142857142857,6042.0,44.0,2912.0,3130.0,1716.0,1318.0,0.14788280588737754,0.20125477723710625,0.20482481625909058,0.155704504107131,22,29
Camila Osorio,1.0500252664925753,1.0045024623052825,1.0453187581868344,0.7700784453107986,1.32055907106287,0.5407114624505929,0.4613564668769716,0.4592885375494071,2533.0,19.0,1265.0,1268.0,684.0,585.0,0.16087930689539404,0.20891288137595412,0.20884547506089945,0.15814928664479,67,30
Barbora Krejcikova,1.04460800702118,1.0297821923588795,1.0143970392693815,0.733834138398946,1.294959940139817,0.600844772967265,0.4110429447852761,0.399155227032735,3850.0,28.0,1894.0,1956.0,1138.0,804.0,0.14719682183839533,0.20058595551243266,0.19821657871548937,0.1530677301832888,38,31
Alexandra Eala,1.0410775944710857,1.0122380902741583,1.0284908308371565,0.7523349506522169,1.304646711022096,0.5493197278911565,0.4561957379636938,0.45068027210884354,2443.0,20.0,1176.0,1267.0,646.0,578.0,0.15131684553614333,0.20112962372007734,0.20422172176197026,0.1565341176554819,34,32
Elisabetta Cocciaretto,1.0356856279971278,1.027058426506304,1.0083999130606138,0.6910417269403377,1.32575809918089,0.586890243902439,0.424287856071964,0.41310975609756095,1323.0,10.0,656.0,667.0,385.0,283.0,0.1453214820522442,0.21029335333435054,0.1984004656753896,0.14965057788292593,44,33
Donna Vekic,1.035280396499991,0.9892158631820596,1.0465667151452196,0.756356338711851,1.3367770915785882,0.5853350189633375,0.41019317714755443,0.4146649810366625,4806.0,54.0,2373.0,2433.0,1389.0,998.0,0.15031928411771986,0.19874135566012222,0.20368110626301292,0.15236729260709256,32,34
Karolina Pliskova,1.0318492186450998,0.9749981935110917,1.0583088517623611,0.7577132932773382,1.358904410247384,0.5922330097087378,0.3975720789074355,0.4077669902912622,4140.0,77.0,2163.0,1977.0,1281.0,786.0,0.15466360077518496,0.20411889582432732,0.20196331477102772,0.14862216447900187,84,35
Anna Bondar,1.0278745585218945,1.0287050083258615,0.9991927230865547,0.727532088131971,1.2708533580411385,0.5953978906999041,0.41621621621621624,0.4046021093000959,2153.0,18.0,1043.0,1110.0,621.0,462.0,0.1496464693135649,0.20569054170215473,0.19807617642864764,0.15586076487530967,71,36
Diana Shnaider,1.0237085737115377,0.9740598450774612,1.050970922253887,0.7605148910432946,1.3414269534644792,0.5707620528771384,0.41810344827586204,0.42923794712286156,3785.0,27.0,1929.0,1856.0,1101.0,776.0,0.15467393566649806,0.20338054847856066,0.1996584247279448,0.14884032575332604,16,37
Linda Noskova,1.0196939457932133,0.9767644837616932,1.0439506787410933,0.7433695692826808,1.3445317881995058,0.5928616550852811,0.3976782752902156,0.4071383449147189,6181.0,47.0,3166.0,3015.0,1877.0,1199.0,0.14869613535215045,0.20002989293150072,0.19464863758304074,0.1447705731403341,13,38
Jelena Ostapenko,1.0168391885837336,0.9657258538005928,1.0529273753850386,0.7714007590719831,1.334453991698094,0.5581506196377503,0.42670537010159654,0.44184938036224974,4165.0,51.0,2098.0,2067.0,1171.0,882.0,0.15546358406179672,0.20153413414944496,0.2042952970031595,0.15309279920785693,37,39
Diane Parry,1.0141970008836036,0.9483943054623655,1.0693832671097259,0.7462937605567773,1.3924727736626745,0.5844845908607864,0.3940724478594951,0.4155154091392136,1852.0,13.0,941.0,911.0,550.0,359.0,0.15042912412539144,0.20156824574436052,0.20092135266169048,0.14429104572953289,57,40
Elise Mertens,0.9989739507016634,0.9617633415403752,1.0386899848997062,0.7364325656374564,1.340947404161956,0.570429104477612,0.4131455399061033,0.42957089552238803,4274.0,41.0,2144.0,2130.0,1223.0,880.0,0.15084152762186728,0.2048273455849943,0.19755167133709647,0.14732246076464064,24,41
