player,EDGE,positive_EDGE,negative_EDGE,points,matches,coverage,eventRate,ace_edge,double_fault_edge,forced_return_error_drawn_edge,unforced_return_error_edge,return_winner_edge,winner_edge,forced_error_drawn_edge,unforced_error_edge,ace_count,double_fault_count,forced_return_error_drawn_count,unforced_return_error_count,return_winner_count,winner_count,forced_error_drawn_count,unforced_error_count,wta_rank,edge_rank
Jasmine Paolini,0.02006561089702395,0.05166889982903448,-0.031603288932010525,6767.0,49.0,0.9951233929363086,0.47982857987291266,0.001335028867694772,-0.002336188963556265,0.010957737918443294,-0.0024629096922625096,0.0020866670784080946,0.02032633721583969,0.016963128748648623,-0.02680419027619175,63.0,81.0,501.0,112.0,74.0,797.0,636.0,983.0,13,23
Ekaterina Alexandrova,0.019733403202692706,0.05566717394526527,-0.03593377074257256,7038.0,47.0,0.9975845410628019,0.5301221938050582,0.005378992615575082,-0.0069605504331209005,0.010683014291679706,-0.003594399130335663,0.003985526427154854,0.01905323559915812,0.0165664050116975,-0.025378821179115996,264.0,251.0,508.0,170.0,147.0,777.0,646.0,968.0,14,24
Emma Raducanu,0.018579496220941127,0.04992901100673291,-0.03134951478579178,8586.0,66.0,0.9979035639412998,0.47181458187747494,0.0035407173614307357,-0.0040234768583944985,0.011739121223773285,-0.0029983467797915315,0.0025113380700093114,0.015678362440692022,0.016459471910827556,-0.024327691147605753,212.0,177.0,681.0,173.0,113.0,780.0,783.0,1132.0,39,25
Elina Svitolina,0.018314946858412142,0.04957845141513172,-0.031263504556719585,11205.0,79.0,0.9983935742971888,0.4686300758589915,0.003826534305064301,-0.0040062228224487595,0.010540722743766622,-0.0024568945059563452,0.0016348465423018286,0.01846733823945609,0.015109009584542882,-0.02480038722831448,299.0,230.0,798.0,185.0,96.0,1199.0,938.0,1506.0,7,26
Xin Yu Wang,0.018290760252916118,0.05222490829016265,-0.03393414803724653,2523.0,18.0,0.9992072929052715,0.49782005548949665,0.003239693233794234,-0.0037905126911567995,0.009913997697434205,-0.003302915158053984,0.002193301665049328,0.021068346257538728,0.015809569436346156,-0.026840720188035752,57.0,49.0,169.0,56.0,29.0,308.0,221.0,367.0,34,27
Anna Bondar,0.018282669355133344,0.049058882290010375,-0.030776212934877027,2153.0,16.0,0.9995355318160706,0.46400371574547145,0.004262675058443319,-0.0029915001957688276,0.011411517952503314,-0.0020734991731894536,0.001683942244461932,0.016192142641149442,0.015508604393452365,-0.025711213565918746,64.0,33.0,166.0,30.0,19.0,202.0,185.0,300.0,57,28
Donna Vekic,0.017890031714520707,0.05425660097609884,-0.036366569261578136,4806.0,33.0,0.9970869746150645,0.5249687890137328,0.0051618885128723365,-0.006538245673715532,0.010624651367455057,-0.0033749657751878308,0.00250134965171356,0.020684055686665773,0.015284655757392105,-0.02645335781267477,173.0,161.0,345.0,109.0,63.0,576.0,407.0,689.0,72,29
Coco Gauff,0.01761743079897863,0.05221382813222298,-0.03459639733324435,13371.0,104.0,0.9982798593972029,0.5021314785730312,0.004751011931800878,-0.007415133067532097,0.011655847105623228,-0.0018029254421759947,0.0013557428959414177,0.018199196124913677,0.01625203007394379,-0.025378338823536257,443.0,508.0,1053.0,162.0,95.0,1410.0,1204.0,1839.0,4,30
Naomi Osaka,0.017179759816104794,0.05593820557707049,-0.0387584457609657,5698.0,41.0,0.9975429975429976,0.5512460512460512,0.007046636517835126,-0.003802066069356721,0.010078331524985494,-0.004256883855972469,0.0024111691172111253,0.020596026843141445,0.015806041573897305,-0.03069949583563651,280.0,111.0,388.0,163.0,72.0,680.0,499.0,948.0,16,31
Peyton Stearns,0.016484414383337934,0.05190926683292173,-0.035424852449583794,2222.0,15.0,0.9986498649864987,0.5022502250225023,0.0014843286328410127,-0.0036891334138312738,0.010058014382225621,-0.003750339758672458,0.002748043130286827,0.021048551661229684,0.01657032902633858,-0.02798537927708006,23.0,42.0,151.0,56.0,32.0,271.0,204.0,337.0,78,32
