player,BLR,serve_LR,return_LR,points,matches,serve_points,return_points,serve_points_won,serve_points_lost,return_points_won,return_points_lost,avg_serve_won_LEV,avg_serve_lost_LEV,avg_return_won_LEV,avg_return_lost_LEV,wta_rank,blr_rank
Laura Siegemund,1.0567308485892002,0.7648818670762478,1.3485798301021525,1772.0,23.0,895.0,877.0,472.0,423.0,369.0,508.0,0.15967809948523995,0.20876177924783032,0.2018112006084315,0.14964720374999577,41,11
Yulia Putintseva,1.0538820754470857,0.7588204420351115,1.3489437088590597,2787.0,30.0,1378.0,1409.0,765.0,613.0,586.0,823.0,0.15426773935740926,0.20329939839742894,0.20629951727985452,0.15293411869227902,82,12
Jelena Ostapenko,1.0529273753850386,0.7714007590719831,1.334453991698094,4160.0,51.0,2097.0,2063.0,1170.0,927.0,879.0,1184.0,0.15546358406179672,0.20153413414944496,0.2042952970031595,0.15309279920785693,37,13
Ekaterina Alexandrova,1.051742653700328,0.7590639921088792,1.3444213152917768,7021.0,60.0,3492.0,3529.0,2036.0,1456.0,1489.0,2040.0,0.15198328809947767,0.2002246051445915,0.20537803139048266,0.15276314727716878,19,14
Liudmila Samsonova,1.05124957025179,0.7555737025174392,1.3469254379861408,5737.0,41.0,2849.0,2888.0,1733.0,1116.0,1193.0,1695.0,0.14856268559504343,0.19662236139248707,0.20080620710346944,0.14908487243637286,36,15
Diana Shnaider,1.050970922253887,0.7605148910432946,1.3414269534644792,3782.0,27.0,1927.0,1855.0,1100.0,827.0,776.0,1079.0,0.15467393566649806,0.20338054847856066,0.1996584247279448,0.14884032575332604,16,16
Talia Gibson,1.0487442077844804,0.7446013484883751,1.3528870670805857,2149.0,16.0,1071.0,1078.0,661.0,410.0,429.0,649.0,0.14656946678902297,0.19684287046561968,0.1991988518099664,0.14723982264079177,63,17
Mirra Andreeva,1.0487061927955785,0.7560188966887516,1.3413934889024055,15600.0,113.0,7849.0,7751.0,4670.0,3179.0,3594.0,4157.0,0.15144812176108174,0.20032319618517688,0.20469589747700204,0.1525994416779929,5,18
Sorana Cirstea,1.0474111773706063,0.758884294708572,1.3359380600326407,3647.0,35.0,1810.0,1837.0,1046.0,764.0,789.0,1048.0,0.15328775518638768,0.2019909441468327,0.20455247923347583,0.15311524190610906,18,19
Donna Vekic,1.0465667151452196,0.756356338711851,1.3367770915785882,4792.0,54.0,2366.0,2426.0,1389.0,977.0,993.0,1433.0,0.15031928411771986,0.19874135566012222,0.20368110626301292,0.15236729260709256,32,20
