player,EDGE,positive_EDGE,negative_EDGE,points,matches,coverage,eventRate,ace_edge,double_fault_edge,forced_return_error_drawn_edge,unforced_return_error_edge,return_winner_edge,winner_edge,forced_error_drawn_edge,unforced_error_edge,ace_count,double_fault_count,forced_return_error_drawn_count,unforced_return_error_count,return_winner_count,winner_count,forced_error_drawn_count,unforced_error_count,wta_rank
Panna Udvardy,0.004299134176239139,0.046314668042993924,-0.04201553386675479,640.0,5.0,0.9984375,0.50625,0.0031368542873925426,-0.006404105035572727,0.008094078833875067,-0.0041852284873845885,0.0026833675058337875,0.019145881037701325,0.0132544863781912,-0.031426200343797464,14.0,21.0,35.0,18.0,9.0,71.0,47.0,109.0,59
Anhelina Kalinina,0.011126872990311329,0.04733737147848151,-0.03621049848817018,2573.0,18.0,0.9984453944811504,0.4784298484259619,0.0028423442324271996,-0.004778811375165035,0.008225751983523917,-0.002602551721653844,0.0023731643355994285,0.018043030164003545,0.015853080762927414,-0.0288291353913513,51.0,63.0,143.0,45.0,32.0,269.0,226.0,402.0,60
Shuai Zhang,0.013577036365267674,0.04971912301313697,-0.0361420866478693,1903.0,15.0,0.999474513925381,0.4929059379926432,0.0017331467273634946,-0.004410103610313576,0.009566337148902416,-0.003127863878000977,0.0021057079043852456,0.020949331689872654,0.01536459954261316,-0.02860411915955474,23.0,43.0,123.0,40.0,21.0,231.0,162.0,295.0,61
Sonay Kartal,0.013048028253528778,0.04604694673236241,-0.032998918478833635,832.0,5.0,1.0,0.46153846153846156,0.0013788370494033154,-0.0016420782142494172,0.012452428975192413,-0.005186821629664661,0.0009173906002850555,0.017631634758446507,0.013666655349035117,-0.026170018634919554,8.0,7.0,70.0,29.0,4.0,85.0,63.0,118.0,62
Caty Mcnally,0.00908550387711073,0.04486182353235365,-0.03577631965524292,866.0,6.0,0.9976905311778291,0.46420323325635104,0.001490290390579103,-0.006310434523120162,0.011792626898842726,-0.0024056740599798505,0.001101716194337711,0.017138686730557864,0.013338503318036253,-0.02706021107214291,9.0,28.0,69.0,14.0,5.0,86.0,64.0,127.0,63
Antonia Ruzic,0.012768062710111975,0.05219631168394559,-0.03942824897383362,685.0,5.0,0.9985401459854014,0.5211678832116788,0.0014653917838914068,-0.0034190842317134893,0.006914149510646983,-0.0026068576466434417,0.0022285225676997554,0.02393481170129003,0.017653436120417414,-0.03340230709547669,7.0,12.0,32.0,12.0,8.0,95.0,67.0,124.0,64
Oleksandra Oliynykova,0.003070782819143622,0.03603107848640265,-0.032960295667259026,128.0,1.0,1.0,0.390625,0.0011203051026401937,-0.0015247869132316016,0.006937781857607201,-0.0011625634687179411,0.0014907597254632152,0.006741507407641311,0.019740724393050725,-0.030272945285309483,1.0,1.0,6.0,1.0,1.0,5.0,14.0,21.0,65
Zeynep Sonmez,-0.0035626455106409745,0.039266726042672076,-0.042829371553313046,705.0,5.0,0.9985815602836879,0.4666666666666667,0.00020340291225240395,-0.005536814890599859,0.009237254709703015,-0.0027439795914136933,0.0,0.013953485970539293,0.01587258245017736,-0.03454857707129949,1.0,20.0,44.0,13.0,0.0,57.0,62.0,132.0,66
Elsa Jacquemot,0.017579970253182385,0.04613005339019309,-0.028550083137010705,901.0,5.0,1.0,0.4361820199778024,0.0035014197214592513,-0.007581626383215955,0.011170265129229204,-0.004789606654695891,0.0016942707645664066,0.014940557149365338,0.014823540625572892,-0.01617885009909886,22.0,35.0,68.0,29.0,8.0,78.0,74.0,79.0,67
Solana Sierra,0.021783870475901974,0.058745214972691376,-0.0369613444967894,1767.0,15.0,0.9966044142614601,0.5472552348613469,0.0023534649354840964,-0.00662725721200832,0.01273170003976662,-0.0010947966111752427,0.0038876178918701163,0.01699455042252261,0.022777881683047934,-0.02923929067360584,29.0,60.0,152.0,13.0,36.0,174.0,223.0,280.0,68
Nikola Bartunkova,0.013494227062586864,0.05033337984966536,-0.0368391527870785,444.0,3.0,1.0,0.5022522522522522,0.004844562606011648,-0.010549877021278109,0.010000406281235606,-0.0030163808918087123,0.0017190742780116355,0.017102779153079218,0.01666655753132725,-0.023272894873991676,15.0,24.0,30.0,9.0,4.0,44.0,41.0,56.0,69
Varvara Gracheva,0.00877856691622082,0.04891345842268683,-0.04013489150646601,1972.0,15.0,0.9994929006085193,0.5070993914807302,0.0015997865968736234,-0.004354766681196947,0.008781289815713779,-0.0021883547646455366,0.002032029483795701,0.01837847049872195,0.018121882027581773,-0.03359177006062353,22.0,44.0,117.0,29.0,21.0,210.0,198.0,359.0,70
Katie Boulter,0.02016341122263203,0.057138662668891727,-0.03697525144625969,2274.0,18.0,0.9841688654353562,0.5404573438874231,0.0035313750992633725,-0.006952062760063872,0.01125991215588199,-0.0020286067915007873,0.0038599794474614823,0.02094669953361058,0.017540696432674297,-0.027994581894695034,56.0,81.0,173.0,31.0,46.0,276.0,221.0,345.0,71
Donna Vekic,0.017890031714520707,0.05425660097609884,-0.036366569261578136,4806.0,33.0,0.9970869746150645,0.5249687890137328,0.0051618885128723365,-0.006538245673715532,0.010624651367455057,-0.0033749657751878308,0.00250134965171356,0.020684055686665773,0.015284655757392105,-0.02645335781267477,173.0,161.0,345.0,109.0,63.0,576.0,407.0,689.0,72
Magda Linette,0.023267591394880088,0.052905163333200694,-0.029637571938320603,8020.0,58.0,0.9975062344139651,0.478428927680798,0.003522395694286175,-0.0025309181282966433,0.0114787705813644,-0.0016142527166637147,0.0016416945006597402,0.019001300080829214,0.017261002476061167,-0.025492401093360244,197.0,104.0,622.0,87.0,69.0,883.0,767.0,1108.0,73
Renata Zarazua,0.0031899995057562257,0.03888687414825404,-0.035696874642497815,595.0,5.0,0.9966386554621849,0.4218487394957983,0.0007230204359896376,-0.0026241710910069917,0.005721240837197647,-0.001750683811716429,0.0012828050074574222,0.015082848169835484,0.016076959697773844,-0.031322019739774394,3.0,8.0,23.0,7.0,4.0,52.0,53.0,101.0,74
Taylor Townsend,0.012529731464294445,0.05259285731588234,-0.040063125851587895,1210.0,8.0,1.0,0.5396694214876033,0.007466231692306217,-0.003709894770705649,0.009418564461236442,-0.0035664756990752048,0.0015770020236305087,0.023391359256397754,0.01073969988231142,-0.032786755381807045,63.0,23.0,77.0,29.0,10.0,164.0,72.0,215.0,75
Yulia Putintseva,0.014413115379927732,0.04295122987950029,-0.02853811449957256,2788.0,19.0,0.9996413199426112,0.413558106169297,0.0010801219927893976,-0.0026601734382921487,0.010086492992408366,-0.003309219400195689,0.0011635197857273875,0.015537385221857967,0.015083709886717176,-0.02256872166108472,21.0,38.0,190.0,62.0,17.0,251.0,233.0,341.0,76
