bootstrap_iteration,valid_players,rank_correlation_with_original,top_10_overlap_count,top_10_overlap_rate,top_20_overlap_count,top_20_overlap_rate
230,59,0.9344827586206896,7,0.7,19,0.95
231,59,0.8886031560490942,9,0.9,16,0.8
232,59,0.9091759205143193,7,0.7,18,0.9
233,59,0.9292226767971947,6,0.6,17,0.85
234,59,0.912448860315605,6,0.6,16,0.8
235,59,0.8994155464640563,6,0.6,18,0.9
236,59,0.9180011689070721,7,0.7,17,0.85
237,59,0.9116306253652835,7,0.7,16,0.8
238,59,0.9042665108123905,6,0.6,16,0.8
239,59,0.8892460549386326,9,0.9,17,0.85
240,59,0.8969023962594976,7,0.7,17,0.85
241,59,0.8908240794856811,6,0.6,16,0.8
242,59,0.8924605493863239,7,0.7,16,0.8
243,59,0.91437755698422,7,0.7,16,0.8
244,59,0.9272355347749855,8,0.8,17,0.85
245,59,0.8316189362945647,9,0.9,16,0.8
246,59,0.8945061367621275,8,0.8,17,0.85
247,59,0.9279953243717126,7,0.7,18,0.9
248,59,0.9271770894213912,7,0.7,17,0.85
249,59,0.9000000000000001,7,0.7,17,0.85
250,59,0.8723553477498541,5,0.5,16,0.8
251,59,0.9292226767971947,6,0.6,18,0.9
252,59,0.9133839859731152,6,0.6,17,0.85
253,59,0.9153126826417302,6,0.6,16,0.8
254,59,0.8531268264173,6,0.6,15,0.75
255,59,0.8983635300993572,8,0.8,17,0.85
256,59,0.8891876095850382,7,0.7,16,0.8
257,59,0.9072472238457043,8,0.8,18,0.9
258,59,0.8164815897136178,5,0.5,17,0.85
259,59,0.9275862068965518,8,0.8,17,0.85
260,59,0.9311513734658096,6,0.6,17,0.85
261,59,0.8869666861484513,7,0.7,18,0.9
262,59,0.9156633547632963,7,0.7,17,0.85
263,59,0.8990064289888955,7,0.7,17,0.85
264,59,0.9143191116306255,8,0.8,16,0.8
265,59,0.8940385739333724,6,0.6,16,0.8
266,59,0.8656341320864993,7,0.7,17,0.85
267,59,0.8421390999415547,8,0.8,15,0.75
268,59,0.8932787843366454,5,0.5,17,0.85
269,59,0.8749269433080072,7,0.7,16,0.8
270,59,0.8497369959088253,7,0.7,17,0.85
271,59,0.8759205143191117,8,0.8,17,0.85
272,59,0.916656925774401,7,0.7,17,0.85
273,59,0.9084161309175922,6,0.6,17,0.85
274,59,0.9531852717708943,6,0.6,17,0.85
275,59,0.8992986557568675,8,0.8,14,0.7
276,59,0.8483927527761544,5,0.5,16,0.8
277,59,0.9015195791934543,6,0.6,15,0.75
278,59,0.9291642314436005,7,0.7,18,0.9
279,59,0.8827001753360609,6,0.6,16,0.8
280,59,0.8616014026884864,8,0.8,16,0.8
281,59,0.8859146697837524,6,0.6,18,0.9
282,59,0.9229690239625952,6,0.6,19,0.95
283,59,0.9169491525423731,9,0.9,17,0.85
284,59,0.8619520748100528,8,0.8,15,0.75
285,59,0.904324956165985,8,0.8,16,0.8
286,59,0.8596142606662771,7,0.7,16,0.8
287,59,0.8770894213909995,5,0.5,15,0.75
288,59,0.8888369374634718,8,0.8,18,0.9
289,59,0.8448860315604911,6,0.6,15,0.75
290,59,0.9254821741671538,6,0.6,18,0.9
291,59,0.9154880187025134,6,0.6,16,0.8
292,59,0.9408533021624783,9,0.9,17,0.85
293,59,0.8666861484511983,6,0.6,18,0.9
294,59,0.9171829339567507,6,0.6,17,0.85
295,59,0.8883109292811223,6,0.6,16,0.8
296,59,0.8964348334307424,7,0.7,17,0.85
297,59,0.8942723553477501,6,0.6,15,0.75
298,59,0.847282291057861,6,0.6,16,0.8
299,59,0.8323787258912917,7,0.7,16,0.8
300,59,0.8956750438340153,8,0.8,17,0.85
301,59,0.8862068965517242,6,0.6,18,0.9
302,59,0.881063705435418,8,0.8,19,0.95
303,59,0.8915838690824082,8,0.8,19,0.95
304,59,0.8971946230274694,6,0.6,16,0.8
305,59,0.8711864406779662,7,0.7,18,0.9
306,59,0.9041496201052017,4,0.4,17,0.85
307,59,0.8921098772647575,6,0.6,16,0.8
308,59,0.8834599649327879,6,0.6,14,0.7
309,59,0.9194038573933374,8,0.8,16,0.8
310,59,0.9239625949736998,7,0.7,18,0.9
311,59,0.8773232028053772,6,0.6,17,0.85
312,59,0.9046756282875512,6,0.6,17,0.85
313,59,0.893687901811806,7,0.7,17,0.85
314,59,0.9323787258912919,8,0.8,17,0.85
315,59,0.8944476914085331,8,0.8,18,0.9
316,59,0.8926358854471073,7,0.7,14,0.7
317,59,0.8292226767971947,7,0.7,16,0.8
318,59,0.8991817650496787,7,0.7,16,0.8
319,59,0.8707773232028054,9,0.9,18,0.9
320,59,0.8719462302746933,6,0.6,17,0.85
321,59,0.9371712448860317,6,0.6,18,0.9
322,59,0.8791934541203975,6,0.6,15,0.75
323,59,0.8642898889538283,8,0.8,17,0.85
324,59,0.9036236119228523,8,0.8,17,0.85
325,59,0.8753945061367623,6,0.6,16,0.8
326,59,0.8822910578609002,5,0.5,17,0.85
327,59,0.9092343658679136,7,0.7,16,0.8
328,59,0.885856224430158,6,0.6,18,0.9
329,59,0.8846288720046758,7,0.7,16,0.8
330,59,0.8803039158386908,6,0.6,17,0.85
331,59,0.8683810637054354,7,0.7,15,0.75
332,59,0.910929281122151,6,0.6,17,0.85
333,59,0.8934541203974287,6,0.6,18,0.9
334,59,0.8615429573348921,7,0.7,14,0.7
335,59,0.9025715955581534,7,0.7,18,0.9
336,59,0.9016364699006431,7,0.7,18,0.9
337,59,0.9148451198129749,6,0.6,17,0.85
338,59,0.9212156633547635,8,0.8,18,0.9
339,59,0.9095850379894801,7,0.7,17,0.85
340,59,0.9016364699006431,8,0.8,18,0.9
341,59,0.8870251315020456,8,0.8,17,0.85
342,59,0.9134424313267097,9,0.9,17,0.85
343,59,0.9002922267679722,8,0.8,15,0.75
344,59,0.8906487434248979,8,0.8,17,0.85
345,59,0.885563997662186,7,0.7,17,0.85
346,59,0.8314436002337816,4,0.4,18,0.9
347,59,0.8829924021040328,7,0.7,18,0.9
348,59,0.8772063120981883,5,0.5,17,0.85
349,59,0.9236119228521333,6,0.6,17,0.85
350,59,0.9075394506136764,5,0.5,17,0.85
351,59,0.9089421390999416,6,0.6,16,0.8
352,59,0.8610753945061369,8,0.8,16,0.8
353,59,0.8562828755113969,7,0.7,15,0.75
354,59,0.9149035651665693,6,0.6,16,0.8
355,59,0.8778492109877266,8,0.8,18,0.9
356,59,0.8733489187609585,6,0.6,15,0.75
357,59,0.8860900058445353,9,0.9,17,0.85
358,59,0.8752776154295735,7,0.7,15,0.75
359,59,0.8880771478667447,8,0.8,18,0.9
360,59,0.8792518994739918,8,0.8,15,0.75
361,59,0.8931618936294566,6,0.6,15,0.75
362,59,0.8920514319111631,8,0.8,16,0.8
363,59,0.901168907071888,7,0.7,15,0.75
364,59,0.8744009351256575,6,0.6,16,0.8
365,59,0.9489772063120984,7,0.7,17,0.85
366,59,0.8323202805376974,8,0.8,16,0.8
367,59,0.9091174751607248,7,0.7,17,0.85
368,59,0.8429573348918762,7,0.7,15,0.75
369,59,0.9113383985973117,7,0.7,18,0.9
